,segment,avg_grade,climb_category,climb_category_desc,distance,elev_difference,name,points,resource_state,starred,s_lat,s_lng,e_lat,e_lng,country_code,loc_name,efforts_log,hotel_distances,mean_hotel_distances,std_hotel_distances,median_hotel_distances,25_hotel_distances,75_hotel_distances,num_trainings,regional_code
0,9802256,5.0,2,3,5047.5,253.6,salita di nikkà completa - dal mare alla chiesetta,{_h_Fg|chANIJOPy@Is@pEeHz@sA^e@R_@Lg@R}ALYl@a@tCe@NKn@q@lAeBdAwB`BgEh@{At@gCl@_BP]n@}@b@{@f@oA\s@jAyC^u@pBeF\o@x@sA^u@FWb@eCJa@z@{AJc@F]Do@ESMUKKw@i@SEMBQNi@bAc@n@e@\i@RUF_CNuADs@AuCMcBC}Bk@YM}Bm@oAg@QOGa@B[FOZObCe@rDy@^UX[NYxCwId@_Ad@e@zBoBb@[|@w@vAe@|Bo@j@QNI`@m@Rm@B_@E_@CcAEc@IuC[kHEa@Q[c@MgAAiJLO@w@XYTq@Zy@Ni@BSAME[UM[CY?a@BQDOPYfA_An@o@zBwChByBl@_ANg@\oBN]z@mAN_@V_Ap@{C@y@Ci@Ee@S{@o@uBQo@CYCgCg@_Ee@wBa@kA,2,False,36.746387,11.985483,36.740153,12.019223,it,Pantelleria,1.81291335664,2,184.979042587,44.22197832609999,171.97041937900002,10.2169565342,64.8300734056,65,SIC
1,8836676,4.3,1,4,2616.8,113.4,Bivio Rekale/Madonna dietro Isola,_pg_Fo|fhAfH{Ad@O^W^_@Vg@`CiHRm@Ve@t@w@xDeDl@Yj@U|Cy@r@[`@q@Je@@oAGsA?s@SkDOqEEk@Sa@SIg@CkDLkCAs@AqADo@Xq@`@a@NwAN[ESSUs@AW@SF]JStAoAn@o@xAgBhDyEJW`@uBJ_@bAyATo@bAsE@OAm@Gy@SaAs@yBOw@Ca@AkBCa@m@mDa@mB,2,False,36.743841,12.000883,36.740031,12.018798,it,Pantelleria,1.90848501888,2,184.241665748,43.9452978746,171.711704996,11.0777500471,65.1697748812,81,SIC
2,9744834,6.4,2,3,2728.4,175.2,salita di ghirlanda,scm_FoxlhAPLT\Jj@Dz@BNDNLPJHTHd@@d@Ud@g@JGRCZDjAh@TNpAn@ZXDNDZEl@OPODeCBGBMJC\ThATv@NNVLfATHF@FEJSAa@DaAXQ@e@S[[]c@c@MY?OLQVu@VKPWnAANBLJHD?r@OJBDFALGJgAf@OPGRAZ@RJXf@r@h@`@DHDXI~@WrB?RBTLVFHlA~@r@n@z@l@^\b@XRP^Pl@PN@NEFWEmA?m@P]REP@v@b@LNhDnBJLJHb@Nj@d@T\DnBDJp@z@ZzBFTBpCQzAcCjGQn@?NJXJH\Hl@F|@@r@e@F?XBh@ZHJF`@DdATjCHt@Nr@,2,False,36.772586,12.030962,36.766362,12.015915,it,Pantelleria,1.7242758696,2,181.23514080799998,43.3906082514,167.751725542,10.3594887814,62.890388575,53,SIC
3,4264640,14.8,1,4,620.2,91.9,Via Preda Climb,chg_Fk{dhAbA_CfAoCvC}IVe@v@kAXg@hAmCrAoDf@kA,2,False,36.742584,11.990467,36.739603,11.996313,it,Pantelleria,1.83884909074,2,184.87999039,44.1343045181,172.19174043400002,10.7827729682,65.2380456087,69,SIC
4,4264641,9.7,1,4,1233.3,120.1,Via Preda Climb,mjf_F{vfhABWAOIUIKy@o@KEYCUNo@pAWd@YTMBiAb@WDaELkBKsBGw@?o@Ge@KmGqBc@QIGGW?WDWNQTG~AYhE_Ah@URQh@eAxAyDV}@BUXm@,2,False,36.737837,11.999982,36.741032,12.003522,it,Pantelleria,1.8260748027,2,184.57595001200002,43.967203359399996,172.359572993,11.6273043824,65.7711981948,67,SIC
5,6745380,4.6,2,3,3518.7,163.2,Via Preda Climb,{cj_FkgphA^pAjAvEPd@LRf@^xBhAl@t@n@xAPPVJzANvB\ZLRJxA`Bz@hBhBjBNZTt@tAbFbAlBb@dA~AjHJtCD^j@lB^z@vCrE|CtBp@l@^XdAh@b@f@h@r@x@x@Zd@^bAt@nA~@|B`ApET^x@p@LPJPj@|Af@xBP`@PT|AzAb@v@d@f@Zt@X`Ar@vAl@jC`@xBj@pBFz@Rr@`ArBrBrCH\Fx@N~@jBpHLz@RzDHx@N`@n@hAt@jBd@n@f@pAd@jB^bC,2,False,36.757265,12.048705,36.739764,12.017879,it,Pantelleria,1.91381385238,2,180.98817597099998,43.035241192,168.761502086,12.6637817007,64.61123817880001,82,SIC
6,8875248,7.2,2,3,2689.2,194.9,Salita del Gibele,_zk_FssihAMFIHg@p@OTWl@IJk@XIJEHDz@NlBCPEFQDw@LIBsAnAIJ?bBGt@@d@E`@Ul@e@dC}@hAEHAPTt@Zp@h@l@@ZEbACZERu@x@g@Ji@BOF_@fAW`@_@`@m@d@YZOZGf@IJMHg@DKHAH?L`Ap@BJAFMFI?e@GOIIBK?g@CMEMGq@m@O?KHCFBf@\dAHPDNBX?HGb@Yr@@~AFhBF`A@t@BHZRHL@NGDI?UKaAu@QSGUYUWe@So@{@gAk@yBe@aA[cA[q@MOq@_@c@Oe@WuBaBuAw@OE_@C]Iq@Ya@Mm@UKIKSKKMGPFCEC@@DGIa@Gk@[QFGNEDQAYQUK}@Oe@Yi@Sa@[[IYOWE_@[a@SUSOMS_@,2,False,36.765923,12.014823,36.778253,12.009021,it,Pantelleria,1.8920946026900003,2,182.433180184,43.6923799645,168.973294464,9.81144533047,63.186614647,78,SIC
7,2158381,4.4,1,4,2179.3,95.2,"Via Preda, 1 Climb",{|k_FykahAFCNUVUFOB]JQ~AsCr@mCZqBNs@x@uCDYz@iDJ[FKBUTaA\qALs@XkAPm@DUNe@f@qBZ_ARgA^}A\eAJq@p@gHj@yBVmAlAiHN]ZA`B`@VHlHvDVFVCjBy@TWBQFeC?UEUOm@UwAUcAcAyDKq@q@iCCS@c@d@_AL_@XqB,2,False,36.7663886875,11.9726108472,36.7591894963,11.9902950088,it,Pantelleria,1.71600334363,2,184.76927953700002,44.4700409952,170.367430153,7.72629730158,62.7402639699,52,SIC
8,9609136,5.0,1,4,2436.2,127.8,incrocio balata/parcheggio sentiero balata,}`i_F_|nhA|@hB|AxGPtBXjCp@vBxA~BfBxBhBlAjAfAxAx@zChDp@|At@rAbAjCd@|Br@`BfAnAv@tBf@vBnAvAtAhBbChF`CxKd@jBfBzCx@jAFPv@fEzAzGR~C^fCbAxBVv@LNj@~@,2,False,36.751672,12.041761,36.740237,12.019326,it,Pantelleria,1.95904139232,2,181.62924809700002,43.1721036895,169.56301923200002,12.6226207746,64.9744738424,91,SIC
9,16028225,3.7,1,4,2340.1,87.1,P.Grande to Gen.Palazzuolo,ccn_F}jexAQcAS}BCqB?eFQqC_@gEA_BKeCk@yDiBiJKo@Ag@LiEAwBYoCeC}Jc@qAa@q@cCcCY]o@eAa@w@Yu@QeAC[Cg@Bg@Je@f@iBVaATkCDcA?gIB_Ad@qG@}@B{KCwC,2,False,36.777622,14.614396,36.780769,14.639191,it,Scicli,2.3344537511500003,21,99.80505464149999,39.698751389899996,102.937103921,3.5485329506300003,6.79119751734,216,SIC
